isgood;title
n;shell plc first quarter 2022 euro and gbp equivalent dividend payments 
y;shell completes sale of retail and lubricants businesses in russia 
y;shell announces executive committee and board change 
y;shell fourth quarter 2021 update note 
y;shell adds deep
n;shell plc (shel): on the right track 
y;shell to acquire sprng energy group, one of india's leading renewable power platforms 
y;shell publishes reports on sustainability, industry associations and payments to governments 
y;shell profits rise to highest in decade on soaring energy prices 
n;shell is seeking applications to dominate your tiktok feed 
n;compressor oil market to witness stunning growth | royal dutch shell, exxonmobil, bp â€“ designer women 
n;avoid shell energy broadband like the plague â€“ royal dutch shell plc .com 
n;polymer modified bitumen (pmb) market size 2022 and growth by top keyplayers â€“ shell, baolirus, hindustan colas private limited (hincol), royal dutch shell plc â€“ designer women 
n;fact check: was amy coney barrett's father an attorney for shell oil? 
n;ethylene market report forecast 2022
n;grease market 2022 size, status and global outlook â€“ royal dutch shell (netherlands), exxon mobil (us), sinopec (china), total (france), chevron (us) â€“ designer women 
n;microbial enhanced oil recovery market insights 2022 and analysis by top keyplayers â€“ statoil, titan oil recovery, royal dutch shell, bp â€“ designer women 
n;gas to liquids processes market latest trends and demand 2022 to 2029 | royal dutch shell, oryx gtl, gas techno, primus green energy â€“ designer women 
n;global dodecene market 2022 by major players â€“ royal dutch shell, evonik, the dow chemical company, sasol limited, chevron phillips chemical company â€“ designer women 
n;agricultural lubricants market outlook 2020 and growth by top keyplayers â€“ royal dutch shell, total se, 
n;fuel cards market size, scope and forecast | royal dutch shell, exxonmobil, british petroleum, fleetcor, us bancorp, wex oilibya, puma energy, engen, first national bank â€“ designer women 
n;process oil market | key players operating in the market include
n;alpha olefins market size, scope and forecast | royal dutch shell plc, ineos, sabic, exxonmobil corporations, evonik industries ag, the rest others. â€“ designer women 
n;floating lng market in
y;shell eyeing significant capture, storage market 
n;naphthenic base oil market 2022
n;polyalkylene glycol market outlook 2022 and growth by top keyplayers â€“ basf, bayer, dowdupont, royal dutch shell â€“ designer women 
n;fuel oil market size, scope and forecast | bp plc, royal dutch shell, exxonmobil corporation, total, chevron, rosneft, lukoil, gazprom neft pjsc, petrobras, petrochina â€“ designer women 
n;automotive automatic transmission market insights 2022 and analysis by top keyplayers â€“ basf, chevron, exxon mobil, royal dutch shell â€“ designer women 
n;engine oil market size 2022 and growth by top keyplayers â€“ total, royal dutch shell, exxon mobil, bp â€“ designer women 
y;royal dutch shell is not running on empty 
n;global wind turbine gear oil market 2022 industry demand analysis with major players â€“ exxon mobil, royal dutch shell, amsoil, bp â€“ designer women 
n;alternative fuels professional market demand forecast 2022 â€“ 2029 | bp, hpcl, royal dutch shell, exxonmobil, ps energy group, chevron, etc â€“ indian defence news 
n;toluene market size, scope and forecast | covestro ag, cpc corporation, exxon mobil corporation, formosa chemicals & fibre corporation, china national petroleum corporation, royal dutch shell plc, sk innovation co., ltd, china petroleum &am 
n;natural gas services market to see booming growth | exxon mobil, bahrain petroleum company, rosneft, total, occidental petroleum corporation, statoil, royal dutch shell, china lng group limited â€“ designer women 
n;petroleum coke market size, scope and forecast | essar oil, chevron corporation, valero energy corporation, reliance industries, royal dutch shell, saudi arabian oil company, exxonmobil, british petroleum, marathon petroleum corporation, trammo â€“ 
n;toluene solvents market size 2022 and growth by top keyplayers â€“ exxon mobil, uop, royal dutch shell, eastman chemical â€“ designer women 
y;zamora, shell tie up for re projects 
n;glycol ether market size, scope and forecast | the dow chemical, basf, lyondellbasell industries, royal dutch shell, eastman chemical, sasol, hannong chemicals, dynamic international enterprises, jiangsu ruijia chemistry, huntsman and shell chemi 
n;methyl isobutyl ketone market size, scope and forecast | royal dutch shell, the dow chemical company, sasol, kumho p&b chemicals inc., mitsubishi chemicals, arkema group, sigma
n;bangladesh lubricants market size, scope and forecast | mjl bangladesh limited, bp plc (castrol), royal dutch shell, navana petroleum limited, basumati group of companies, trade services international (total), corona group (lukoil), gulf oil banglad 
n;tight gas market size, share, trends, regional analysis, company growth, development status, technology, swot analysis 2029| exxon mobil, royal dutch shell, chevron, cnpc â€“ indian defence news 
n;global aprotic solvent market will hit big revenues in future 2022
y;royal dutch shell (a shares) (rds.a) q1 2022 earnings call transcript 
y;royal dutch shell is selling its permian basin oil holdings to conocophillips 
n;methyl ester ethoxylates market research report, growth trends and competitive analysis 2022
y;go faster, be bolder: setting the pace at shell 
n;middle east and africa oilfield chemicals market size, scope and forecast | halliburton, clariant, schlumberger limited, basf se, baker hughes llc, ideal energy solutions llc, nalco champion, royal dutch shell plc , solvay, stepan company. â€“ desig 
y;shell pauses nigerian onshore divestment pending outcome of court case 
n;syngas and derivatives market size, scope and forecast | haldortopsoe a/s, kbr inc., air products and chemicals, air liquide sa, sasol limited, agrium inc., the linde group, technip sa, royal dutch shell plc, yara international asa â€“ designer women 
y;activist investor seeks to break up royal dutch shell 
y;oil giant shell misses on third
n;gas turbine mro market to eyewitness massive growth by 2030: bp, chevron, exxon mobil, halliburton, royal dutch shell â€“ indian defence news 
y;forbes global 2000: shell becomes europe's top public company as oil price boom drives profits 
y;shell completes acquisition of solar and energy storage developer savion 
y;shell to develop crux project in western australia 
y;musings about royal dutch shell (rds.a) 
n;planned lng market key vendors growth 2022 â€“ gazprom, exxon mobil, china national petroleum, royal dutch shell, bp, chevron, etc â€“ indian defence news 
n;u.s. security review stalls sale of shell texas refinery to mexico's pemex 
n;industrial degreasing solvent market 2022 key factors and emerging opportunities with current trends analysis 2028| keyplayer as ,basf se ,rb products, inc. ,royal dutch shell plc ,wego chemical group ,jayne products ,keteca water works â€“ indian 
n;shellâ€™s buybacks and low
y;oil major shell to write off up to $5 billion in assets after exiting russia 
n;tire material market size, scope and forecast | cabot corporation, lanxess, phillips carbon black limited, sinopec, the goodyear tire and rubber company, kurarey, jsr corporation, orion engineered carbons sa, royal dutch shell, petrochina. â€“ desig 
n;technology for a sustainable energy industry 
n;royal dutch shell stock is your portfolio's present (nyse:rds.a) 
y;shell stopped from selling nigerian assets until $2 bln appeal decided 
n;floating lng systems market outlook 2022 and growth by top keyplayers â€“ excelerate energy, golar lng, hoegh lng, royal dutch shell â€“ designer women 
n;royal dutch shell stock: the wind farm at the end of the universe (nyse:rds.a) 
y;shell ceo's pay rose by a quarter in 2021 to $8.2 mln 
y;shell expects cash boost from soaring gas and power prices 
y;shell pauses sale of nigerian onshore oil assets 
y;shell may have to abandon âł3bn stake in russian gas plant 
n;two shell: icons ep album review 
n;marcel the shell is the hero the world needs 
n;july 4th weekend events in shell lake | recent news 
y;shell, the oil giant, will sell renewable energy to texans 
n;how to split custody of a one
n;superintendent says goodbye to shell lake | local 
n;7 new albums you should listen to now: moor mother, two shell, and more 
y;shell invests $27.5 million in lsu to establish institute for energy innovation and catalyze new campus district focused on scientific discovery 
n;wanda shell obituary (1946 
n;equinor transfers operatorship of north platte to shell 
n;hattiesburg man charged for burglary of shell station 
n;shell commercial road transport tools & services 
n;shell freedom over texas: houston officials ad performers excited for a full crowd at 4th of july event 
n;why do tortoises live so long? it's the shell 
n;camper shell market insights 2022 and analysis by top keyplayers â€“ tag, ishler s, jeraco, truck hero â€“ designer women 
n;why the most recent adaptations of gits have been mediocre 
n;shell station in bedford hits drivers with high gas prices 
n;shell (shel) stock sinks as market gains: what you should know 
n;nigeria shell oil permits investigated over loss of $200 million 
n;jenny slate talks new 'marcel the shell' movie 
y;shell hires maersk rig for high
y;shell chemical appalachia project: a hub of innovation 
n;adele reveals backlash after she scrapped vegas gigs left her feeling like 'a shell of a person' 
n;ceres and shell announce electrolyser agreement for green hydrogen 
n;phillies shell ian anderson, but braves finish successful june in good position 
y;shell and bp to deliver even greater profits and shareholder returns for q2 
n;â€marcel the shell with shoes onâ€™ review: bigger isnâ€™t better 
n;frankenstein legislation and midnight shell games thrive under iowa supreme court 
y;exxonmobil, shell, cnooc to pursue offshore carbon capture hub in china 
n;trail of blood, shell casings alert police to south side home invasion 
n;how food waste will propel indycar as shell switches to 100% renewable fuel in 2023 
y;shell to build ships to carry more co2 over longer distances for ccs hubs 
n;strohm fast
n;houston astros may start playing shell games with critical players 
n;nick kyrgios' perplexing shell: on the aussie's relationship with wimbledon, the boston celtics, and beyond 
n;we asked experts how they make fireworks that explode into shapes 
n;3 arrested, shell casings, guns, drugs recovered after shots, crashes on far east side 
n;the shell lake laker weekly news! 
n;shell v wild coast: science, research and erring on the side of caution 
y;shell says russian oil price cap needs broad participation to work 
n;elevated temperature and carbon dioxide levels alter growth rates and shell composition in the fluted giant clam, tridacna squamosa | scientific reports 
n;say what?johnny depp ordered to shell out $38k to the aclu despite winning defamation case 
n;egg is gone, but shell remains | lifestyle | djournal.com 
n;marcel the shell director shares how isabella rossellini and lesley stahl of 60 minutes got involved with the project 
n;oyster shell recycling project in wellfleet is expanding 
n;tanzania signs lng framework agreement with equinor and shell 
n;join these heroes in a half shell for a new adventure in 'shredder's revenge' 
n;houston crime: gunman opens fire on woman's car in shell gas station off aldine westfield in city's north side, police said 
n;with bravesâ€™ dansby swanson, ron washington says itâ€™s not about â€the shellâ€™ 
n;nbcuâ€™s jeff shell keeps cards close to chest on rumoured netflix ad deal, talks up apple news partnership â€“ cannes lions 
y;shell's prelude lng facility to be hit with industrial action from friday 
n;web3 watch: 'ghost in the shell' and bill murray get new nft collections 
n;shell stock may have some significant upside in the short term 
n;big tab: us independent to shell out $627 million for permian assets 
n;mpd investigating shots fired after shell casings found on midtown rd. 
n;a delicious crab crawl: where to get your soft shells in hampton roads 
y;eni to join exxon, total, shell, conoco in qatar's mega
n;schlumberger, shell, sunrun, and 3 other energy stocks to consider in a hot market 
y;shell to invest $66m to build lng import terminal in the philippines 
n;rancho cordova, california shell gas station manager fired after temporarily lowering price to 69 cents a gallon 
n;oil & gas stock roundup: equinor's discovery, shell's jackdaw approval in focus 
y;shell joint venture atlantic shores wins acreage in new york bight, expanding offshore wind market share 
n;buy shell stock. the energy giant looks like a bargain. 
y;shell reports a record $9.1 billion profit. 
y;shell to develop crux project in western australia 
y;shell, indycar to introduce 100% renewable race fuel in 2023 
y;strong progress towards net zero for shell 
y;shell's board of directors sued for 'failing to properly prepare' for the energy transition 
n;about shell construction and road 
y;shell starts up hydrogen electrolyser in china with 20 mw production capacity 
n;shell commercial road transport partnership 
n;shell commercial road transport control 
y;wafi, shell global sign concession agreement 
y;shell, accenture and amex gbt launch one of the world's first blockchain powered digital book
y;putin moves to seize sakhalin
n;global gas to liquids (gtl) market overview 2022
n;msq appointed to shell global roster 
n;eig hires de la rey venter as ceo of midocean energy 
y;shell advances basf purification tech for green hydrogen 
n;chemical licensing market size, scope and forecast | shell global solutions, exxon mobil corporation, chevron phillips chemical company, sumitomo chemical, mitsubishi chemical corporation, johnson matthey, mitsui chemicals huntsman corporation, 
y;shell is looking to shake up the energy game in texas 
n;fire drill held at agape centre to mark shell global safety awareness day 
n;omani platform nibras teams up with shell international 
n;sustainable aviation fuel 
y;shell orders testing volumes of two bio
n;automotive lubricants market insights 2022 and analysis by top keyplayers â€“ shell, exxonmobil, bp, total â€“ designer women 
n;petroleum (pet) coke market 2022 global insights and business scenario â€“ shell, valero energy, conocophillips â€“ designer women 
n;global lubricant market share 2022 | shell, total, exxonmobil, bp â€“ designer women 
n;bhp's exchange of deepwater gulf of mexico leases with shell 
n;commodities hit july storm with putin and powell stirring fear: â€we in grains have never traded a war market before, so this is all newâ€™ 
n;solvent naphtha market insights 2022 and analysis by top keyplayers â€“ shell, exxonmobil, total, chevron phillips â€“ designer women 
n;global calcium carbonate from oyster shell market 2022 worldwide major growth by key players: huber materials, nutri granulations, the wright group, erie â€“ designer women 
y;powering progress in action 
n;heavy fuel oil professional market demand forecast 2022 â€“ 2029 | tauber oil, sa oil, emo, hiap huat holdings berhad, chevron phillips, shell global, etc â€“ indian defence news 
n;tablet protection soft shell market rising trends, growth opportunities and global outlook 2022. â€“ designer women 
n;global lubricating grease market business growth by top key players analysis | shell, exxon mobil, bp, total lubricants â€“ designer women 
n;shell & tube heat exchanger market 2022 forecasts analysis, company profiles, competitive landscape and key regions 2030 | alfa laval, kelvion (gea), spx corporation, ihi â€“ designer women 
n;portable fan market by type (metal shell type, plastic shell type), application (residential, commercial, other), and geography â€“ global trends & forecasts to 2019
n;global linear alpha olefins (lao) market 2022 current scope â€“ shell, chevron, phillips, chemical â€“ designer women 
n;information data & analytics 
n;global antifreeze and coolants market insider 2022 | prestone, shell, exxonmobil â€“ designer women 
n;the hydrogen stream: faw jiefang wraps up delivery of fuel cell vehicles in china 
n;lng refueling station market to eyewitness huge growth by 2027 : hindustan petroleum, shell global, gazprom, enn energy holdings 
n;us' pbp may become another empty shell after the ipef 
n;ncdmb partners shell, exxonmobil, naoc in oil, gas parksdevelopment 
y;shell expected to sign deal with qatar for giant gas project 
n;global lng
n;container line cma cgm signs alternative bunkers deal with shell 
y;shell trinidad and tobago delivers first gas from colibri project 
n;carbon capture and sequestration (ccs) market is booming worldwide with siemens, aker solutions, fluor â€“ designer women 
n;ed daniels appointed strategy, sustainability and corporate relations director 
n;silver impregnated coconut shell activated carbon market is booming worldwide with kuraray, jacobi carbons, silcarbon aktivkohle â€“ designer women 
n;electric vehicle charging services market growth during 2022
n;interview: suing shell in the netherlands set standard in global home litigation 
n;global hydrogen fueling stations market report 2022
n;primary petrochemicals market outlook 2022 and growth by top keyplayers â€“ lyondellbasell, basf, total, shell global â€“ designer women 
n;ester transformer oils market 2022 global competition and business outlook â€“ cargill, m&i materials limited, shell, sinopec â€“ designer women 
n;global brake oil market sales likely to meet new peek in 2022
n;global polymer modified bitumen (pmb) market growing trends 2022
n;global fuels market 2022 driving factors â€“ chevron oronite, shell, total, bp â€“ designer women 
y;shell completes acquisition of energy retailer, powershop australia 
n;automotive engine oil market research with exxon mobil, shell, valvoline, pennzoil, amsoil | impact and recovery analysis â€“ designer women 
n;heavy commercial vehicle transmission fluids market analysis, enterprises, report and forecast â€“ shell, exxon mobil, bp, total â€“ designer women 
n;global die casting lubricants market regional share, trends and analysis 2022
n;decarbonising plant operations 
n;accelerate to zero | shell fleet solutions & consultancy 
n;fuel card market 2022 forecasts analysis, company profiles, competitive landscape and key regions 2030 | exxonmobil, shell, spc, caltex, dbs, uob, ocbc â€“ designer women 
n;global breast shell market 2022 latest trends | philips, medela, pigeon, newell brands â€“ indian defence news 
n;top questions about ccs 
n;global solvents market 2022 industry growth and product scope 2028 | top players as shell, exxonmobil, total, chevron phillips â€“ designer women 
y;shell signs gas concession agreement for block 10 in oman 
n;future outlook of synthetic ester lubricant market by 2029 | basf, bel
n;methyl isobutyl carbinol (mibc) market insights 2022 and analysis by top keyplayers â€“ celanese, shell chemicals, dow chemical, arkema â€“ designer women 
y;shell warns spare oil capacity is running very low 
y;russia seizes control of sakhalin gas project, raises stakes with west 
y;shell to sign deal with qatar for large lng project 
y;shell warns of prelude lng disruptions 
n;shell: poor management decisions make for a steep discount (nyse:shel) 
y;shell's iraq jv gas capture boost hinges on oil fields reaching their plateau: official 
n;interior offshore oil drilling plan skirts tough choices 
n;russian oil and gas: headed for long
y;shell to receive two final bids for proposed sale of nigeria oilfields this week 
n;opec latest: meeting concludes without discussion of oil policy 
y;u.s. hurricane damage to cut shell oil output through year
n;trinidad boosts lng exports to europe, rushes more gas output 
n;oil posts first monthly drop this year as opec+ hikes supply 
n;shell sells off its oil and gas business in texas' permian basin, seeking to reduce its reliance on fossil fuels 
n;onshore oil and gas market insights 2022 and analysis by top keyplayers â€“ chevron, bp, exxonmobil, royal dutch shell â€“ designer women 
n;shell halts plan to sell nigerian onshore oil assets 
n;chip shortage leaves gm with 95000 unfinished vehicles and more business news 
n;the future is bright for green hydrogen 
y;shell resumes oil exports at mars and ursa in the gulf of mexico 
y;shell's q1 oil, gas output slides on year as price jump boost earnings 
y;shell nigeria oil field sale draws bids from four local firms 
n;petroleum coke market to booming in near future | shell, valero energy, conocophillips â€“ designer women 
n;namibia aims for first
y;shell says its oil production has peaked and will fall every year 
n;ardova, 160 other local oil firms secure licenses to develop oilfields shell, chevron snubbed 
n;exxon signals operating profits could double over q1 
n;india sets sights on deepwater basin in oil exploration push 
y;shell defends 'difficult' decision to buy russian crude oil 
n;automotive engine oil market 2022: global industry analysis, size, share, trends, growth and forecast by 2028 | exxon mobil, shell, valvoline â€“ indian defence news 
y;shell among companies chasing ecuadorian oil after russia sanctions 
n;legends of artificial lift 
y;shell cancels u.s. gulf oil cargoes, refiners seek alternatives 
y;shell joins exxon with $1 billion brazil exploration setback 
y;shell says break
y;shell forecasting windfall from natural gas and oil prices, but costly russian exit 
n;climate pressure and resignations rattle shell, exxonmobil 
y;shell considering sale of holdings in largest u.s. oil field, worth up to $10 billion 
n;shell midstream partners, l.p. (nyse:shlx) receives consensus rating of hold from analysts 
y;shell releases new plan for north sea gas field development 
y;â€greed and fearâ€™: how bp and shell oil profit is boosted by own traders 
n;shell faces uk showdown over delayed impact from cataclysmic bonga oil spill 
y;shell delays expansion work at nigeria's bonga oil field by two years: sources 
y;shell to supply crude to pemex's texas refinery under long
y;shell loses nigerian oil license to state operator in court ruling 
n;western energy companies cut ties with russia 
n;oil giants sell dirty wells to buyers with looser climate goals, study finds 
y;shell, totalenergies among winners of latest brazil oil tender 
n;'greenwashing': new climate misinformation battleground | fact check 
y;exclusive shell eyes return to libya with oil, gas, solar investments 
y;analysis: uk north sea's oil and gas future darkens after shell's cambo exit 
n;shell stock: off to a rough start in its soon to be only home 
n;fossil fuel companies like shell and bp are raking in massive profits, and this could be just the beginning 
y;shell oil plans to construct a new renewable natural gas facility in southern idaho 
y;shell will sell russian fuel stations as part of exit plan 
y;shell starts production at its first us rng facility | biomassmagazine.com 
n;oil stocks shell, conocophillips fall despite earnings beat amid opec's modest output boost 
n;shell shale oil and gas 
n;growth stalls in pemex crude processing output 
y;shell nigeriaâ€™s oil output dips 22% on challenges 
n;stuck bags add to tangles at paris airports amid travel boom 
n;why shell is becoming a softer target for climate campaigners 
y;shell restarts gulf oil platform 6 weeks after hurricane ida 
n;bw offshore locks in chinese yard for brazil
n;south africans are standing up to shell, big oil 
y;exclusive shell plans to exit california joint venture with exxon mobil 
y;exclusive shell moves to sell british north sea southern gas fields 
y;shell greenlights gulf of mexico 'whale' oilfield project 
n;cma cgm inks lng supply deal with shell 
n;mexico's dos bocas refinery starting operations amid controversy and fanfare 
n;ypfb assumes operations in contract areas transferred by shell bolivia 
y;shell to exit russia after ukraine invasion, joining bp 
n;russia seizes control of partly foreign
y;shell to sell major u.s. shale operation to conocophillips, accelerating its departure from fracking 
y;exclusive shell in talks with indian consortium to sell russian lng plant stake 
y;shell agrees to sell russian retail business to lukoil 
n;surveying the ohio river for plastic nurdles, as shell readies to open cracker 
n;what we do 
y;shell overhauls refining operations at biggest german plant 
y;shell's bahamas operations is a tax
n;daimler truck testing fuel
y;shell under fire: high court halts 5
y;shell's 1st us rng facility enters operation 
n;vipo wins contract for jansz
n;carbon capture storage | ccs technology & methods 
y;shell restarts assa north gas projects after insecurity disrupted operation 
y;shell benefits from energy crisis as soaring gas prices lift profits 
n;russia
y;shell signs gas concession agreement for block 10 in oman's saih rawl field 
n;police blotter: july 1, 2022 
n;royal dutch shell is not running on empty (nyse:rds.a) 
n;shell's prelude flng resumes operation 
n;oil & gas stock roundup: bp & shell grab headlines this week 
y;shell changes senior uk leadership in global overhaul 
n;shell share price forecast for june 2022: brace for impact 
y;shell to hand over deer park refinery to pemex next week 
y;shell returns to the colombian fuel market 
y;shellâ€™s decision to leave the netherlands is about keeping investors on its side in difficult times 
y;shell china becomes first oil major to sign terminal use agreement with pipechina 
y;shell sanctions natural gas project off australia 
y;as shell transitions from fossil fuel, the role of its new orleans hub grows 
y;shell to sell us refinery stake to mexican state
